cockroachdb;create;10000;144
cockroachdb;update;10000;81
cockroachdb;selectByStatus;10000;5
cockroachdb;selectByPK;10000;4

mssql;create;10000;196
mssql;update;10000;185
mssql;selectByStatus;10000;107
mssql;selectByPK;10000;555

mysql;create;10000;263
mysql;update;10000;158
mysql;selectByStatus;10000;416
mysql;selectByPK;10000;454

percona;create;10000;294
percona;update;10000;163
percona;selectByStatus;10000;588
percona;selectByPK;10000;588

mariadb;create;10000;312
mariadb;update;10000;175
mariadb;selectByStatus;10000;666
mariadb;selectByPK;10000;588

oracle;create;10000;384
oracle;update;10000;263
oracle;selectByStatus;10000;833
oracle;selectByPK;10000;769

postgres;create;10000;344
postgres;update;10000;222
postgres;selectByStatus;10000;625
postgres;selectByPK;10000;588
